By,"Status (complete, in progress, out of range, not map)",root_url,collection,Notes,Thumb,IIIF,georeference,Georeference Annotation ,XYZ map tiles,Title,Alternate Title,Creator,Contributor,Artist,Author,Composer,Editor,Lyricist,Producer,Publisher,Coverage,Spatial Coverage,Temporal Coverage,Latitude,Longitude,Bounding Box,External Reference,Advisor,Committee Member,Degree Name,Degree Level,Department,University,Date,Date Created,Date Issued,Date Recorded,Date Submitted,Date Search,Description,Abstract,Award,Frequency,Sponsorship,Table of Contents,Subject,LCSH Subject,Language,Language-ISO,Format,Medium,Extent,Type,Source,Digital Collection,Physical Collection,Series/Location,Subcollection,Repository,Rights,Rights Note,Rights License,Rights URI,Rights DPLA,Identifier,Citation,DOI,ISBN,Permanent Identifier,Related Resource,Relation-Has Format Of,Relation-Has Part,Relation-Has Version,Relation-Is Format Of,Relation-Is Referenced By,Relation-Is Replaced By,Relation-Is Version Of,Relation-References,Relation-Replaces,Transcript,Path,File Name,OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
Kasper,skip,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,map part - duplicate,,https://archives.mountainscholar.org/iiif/2/p17393coll70:10/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:10/info.json,,,Lower left detail 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPEC_IrrFarmsNorthDenver_16079_00052_lowerleft.jpg,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/10,10,23.jpg,/p17393coll70/image/23.jpg
Kasper,complete,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,map part - might need to revisit,,https://archives.mountainscholar.org/iiif/2/p17393coll70:11/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:11/info.json,https://annotations.allmaps.org/images/3aba0336009bcdbc,https://allmaps.xyz/images/3aba0336009bcdbc/{z}/{x}/{y}@2x.png,Lower left detail 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPEC_IrrFarmsNorthDenver_16079_00053_lowlowerleft.jpg,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/11,11,24.jpg,/p17393coll70/image/24.jpg
Kasper,complete,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,map part,,https://archives.mountainscholar.org/iiif/2/p17393coll70:12/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:12/info.json,https://annotations.allmaps.org/images/c354b1d0f6046d3b,https://allmaps.xyz/images/c354b1d0f6046d3b/{z}/{x}/{y}@2x.png,Lower right detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPEC_IrrFarmsNorthDenver_16079_00054_lowerright.jpg,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/12,12,25.jpg,/p17393coll70/image/25.jpg
,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,map part,,https://archives.mountainscholar.org/iiif/2/p17393coll70:13/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:13/info.json,,,Upper left detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPEC_IrrFarmsNorthDenver_16079_00055_upperleft.jpg,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/13,13,26.jpg,/p17393coll70/image/26.jpg
,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,map part,,https://archives.mountainscholar.org/iiif/2/p17393coll70:14/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:14/info.json,,,Upper right detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPEC_IrrFarmsNorthDenver_16079_00056_upperright.jpg,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/14,14,27.jpg,/p17393coll70/image/27.jpg
,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,map part,,https://archives.mountainscholar.org/iiif/2/p17393coll70:15/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:15/info.json,,,Center detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPEC_IrrFarmsNorthDenver_16079_00057_central.jpg,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/15,15,28.jpg,/p17393coll70/image/28.jpg
,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,link broken,,https://archives.mountainscholar.org/iiif/2/p17393coll70:16/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:16/info.json,,,Map of the irrigated farms north of Denver: tributary to the factories of the Great Western Sugar Co.,,"Great Western Sugar Co., publisher",,,,,,,,,,Colorado,,,,,,,,,,,,1914,,,,,1914,Print map. Compiled 1914. Scale: not given.,,,,,,Irrigation farming -- Colorado -- Maps; Farms -- Colorado -- Maps; Sugar beet -- Colorado -- Maps; South Platte River Watershed (Colo. and Neb.),,English,eng,,maps (documents); historical maps,196 x 158 cm,StillImage,,Special Collections Maps,,,,Colorado State University. Libraries,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://libguides.colostate.edu/copyright.",,,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries (https://rightsstatements.org/page/NoC-US/1.0/). The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",,,,,https://hdl.handle.net/10217/187310,Catalog record number (MMS ID): 991024446069703361; G4311.J2 1914 .M36B,,,,,,,,,,,,,,6/13/25,6/13/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/16,16,29.cpd,/p17393coll70/image/29.cpd
,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,needs an expert,,https://archives.mountainscholar.org/iiif/2/p17393coll70:17/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:17/info.json,,,South Pass Station Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South_Pass_Station_Map.jpg,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/17,17,30.jpg,/p17393coll70/image/30.jpg
,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,needs an expert,,https://archives.mountainscholar.org/iiif/2/p17393coll70:18/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:18/info.json,,,South Pass Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South_Pass_Station.jpg,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/18,18,31.jpg,/p17393coll70/image/31.jpg
,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,needs an expert,,https://archives.mountainscholar.org/iiif/2/p17393coll70:19/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:19/info.json,,,"St. Marys, or, Rocky Ridge Station",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St._Marys.jpg,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/19,19,32.jpg,/p17393coll70/image/32.jpg
,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,needs an expert,,https://archives.mountainscholar.org/iiif/2/p17393coll70:20/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:20/info.json,,,Three Crossings Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Three_Crossings_Station.jpg,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/20,20,33.jpg,/p17393coll70/image/33.jpg
,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,needs an expert,,https://archives.mountainscholar.org/iiif/2/p17393coll70:21/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:21/info.json,,,Sweet Water Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweet_Water_Station.jpg,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/21,21,34.jpg,/p17393coll70/image/34.jpg
,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,needs an expert,,https://archives.mountainscholar.org/iiif/2/p17393coll70:22/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:22/info.json,,,"South Pass Station; St. Marys, or, Rocky Ridge Station; Three Crossings Station; Sweet Water Station",,"Collins, Caspar Wever, 1844-1865, mapmaker",,,,,,,,,,Wyoming,1864,,,,,,,,,,,1864 (?),,,,,1864,"Linen diagram with four panels depicting South Pass Station, St. Marys, or, Rocky Ridge Station, Three Crossings Station, and Sweet Water Station. Hand drawn and colored to the scale of 1 inch = 20 feet. Includes the whole map and sections of the map by station.","Diagrams for South Pass Station, St. Marys, or, Rocky Ridge Station, Three Crossings Station, and Sweet Water Station, all U.S. Army camp/stations. Caspar Collins drew these four stations on a single strip of linen, with each station as an individual map. The strip measures 38 inches wide by 12 inches high, and is housed in a mylar sleeve. The entire map is marked by wrinkle and dirt stains. The map of South Pass Station has one small hole. Each individual map is scaled at 20 feet to the inch and colored, has a legend and compass, and includes dimensions of rooms and structures.",,,,,South Pass Station (Wyo.) -- Maps; St. Marys (Wyo.) -- Maps; Three Crossings Station (Wyo.) -- Maps; Sweet Water Station (Wyo.) -- Maps; United States. Army. Cavalry -- Maps; Wyoming -- Maps,,English,eng,,maps (documents); historical maps,38 x 12 inches,StillImage,,Special Collections Maps,,,,Colorado State University. Libraries,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://libguides.colostate.edu/copyright.",,,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries (https://rightsstatements.org/page/NoC-US/1.0/). The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",,,,,http://hdl.handle.net/10217/37897,,,,,,,,,,,,,,,5/24/22,5/24/22,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/22,22,35.cpd,/p17393coll70/image/35.cpd
,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,needs an expert,,https://archives.mountainscholar.org/iiif/2/p17393coll70:23/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:23/info.json,,,Camp Mitchell ; Mud Springs Station ; Ficklins Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Camp_Mitchell_Map.jpg,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/23,23,36.jpg,/p17393coll70/image/36.jpg
,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,needs an expert,,https://archives.mountainscholar.org/iiif/2/p17393coll70:24/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:24/info.json,,,Camp Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Camp_Mitchell.jpg,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/24,24,37.jpg,/p17393coll70/image/37.jpg
,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,needs an expert,,https://archives.mountainscholar.org/iiif/2/p17393coll70:25/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:25/info.json,,,Mud Springs Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mud_Springs_Station.jpg,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/25,25,38.jpg,/p17393coll70/image/38.jpg
,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,needs an expert,,https://archives.mountainscholar.org/iiif/2/p17393coll70:26/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:26/info.json,,,Ficklins Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ficklins_Station.jpg,,8/31/21,8/31/21,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/26,26,39.jpg,/p17393coll70/image/39.jpg
