By,"Status (complete, in progress, out of range, not map)",Notes,is_map,root_url,collection,thumbnail,Thumb,IIIF,georeference,Georeference Annotation,local_annotation,XYZ map tiles,Category,Keywords,Scale,Title,Alternate Title,Creator,Contributor,Artist,Author,Composer,Editor,Lyricist,Producer,Publisher,Coverage,Spatial Coverage,Temporal Coverage,Latitude,Longitude,Bounding Box,External Reference,Advisor,Committee Member,Degree Name,Degree Level,Department,University,Date,Date Created,Date Issued,Date Recorded,Date Submitted,Date Search,Description,Abstract,Award,Frequency,Sponsorship,Table of Contents,Subject,LCSH Subject,Language,Language-ISO,Format,Medium,Extent,Type,Source,Digital Collection,Physical Collection,Series/Location,Subcollection,Repository,Rights,Rights Note,Rights License,Rights URI,Rights DPLA,Identifier,Citation,DOI,ISBN,Permanent Identifier,Related Resource,Relation-Has Format Of,Relation-Has Part,Relation-Has Version,Relation-Is Format Of,Relation-Is Referenced By,Relation-Is Replaced By,Relation-Is Version Of,Relation-References,Relation-Replaces,Transcript,Path,File Name,OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path,children,id,geojson,latitude,longitude,area
,,probably skip,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/169/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:169/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:169/info.json,,,,historic,,,specm_larimerweld1_1916_v3_special_014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o SECTIONS W b-C8 Ki &gt;r- G â€™o- 15â€ 5&gt;5- Â«â€¢ p- '4 uf- 12- 2/2. C7 5b-3 A-io; Or-J 55 Â© boo^ -Uccvo 1917- ' o i -f- O ^-3 fb 3Â«i r /&lt; Â® : u Â®,,specm_larimerweld1_1916_v3_special_014.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/169,169,170.jpg,/p17393coll70/image/170.jpg,,p17393coll70-169,,,,
Violet,complete, Volume 1 use PLSS,y,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/170/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:170/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:170/info.json,https://annotations.allmaps.org/images/d68165d630f68533,annotations/d68165d630f68533.json,https://allmaps.xyz/images/d68165d630f68533/{z}/{x}/{y}@2x.png,"historic, boundaries, planningCadastre, location","handDrawn, plss, irrigation, resources",City,specm_larimerweld1_1916_v3_special_015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5b-/ 5b- ? /35- SECTIONS 191T A- Cjr- â€˜/S' ?o-^Â° 753 - * I p- Sb- 3Â° Gr- '&lt;*&gt; Po - 1- -4- Sb-*&gt; Gr.-./S fo- Ks- â€˜fp-'l A- 4o Gr- /3s - $ Po- '*- 5o - 36. A - -4 &lt;&gt;/â€™- â– 2-=â€™ i /Â£- T-' Gr Po / - &lt;2&gt;C. - 5b- 3 A - Grr 85 â€¢ 56- f ; 4-S^ â€¢ Gr-9^ Â« i ""Z-^M O 3&gt;o 3 /*/ S/T- 4- ;o /J5-/5 Gr- P&gt;- â€¢/' Z35 - f &gt;tÂ» 'x^', ^fr.' &lt;^â– 37, â€¢Sb-xs r- 3 â€¢ A oat- 3 '. Gr- H-fi? 5b- 4 - 3o 6&gt;- /*&lt;&gt; to- * M' ^2- ^y' â€” Sâ€œ4&gt; Po- r^- 'Â±3 p- -57 _ Â¥ Â»&gt;7 Sb-P^ Gr- /6 73 5 â€” *7 P- 7-2-g Sb- a"" Gr-/*t - /a 135- 8 Po -/I- 97 5b- A"" A -Z3"" C,r- 7-0 Po- ? Bs - 43 Po- 3 C- 7 &gt;!-/&lt;! Sb- f A - AS"" Gr-4o Aâ€™o- * ~~ C J- S O - /c /?- '4-0 Qr- Po- Po â€” /35- ? ss-/ -â€”â€” ^7 CSr- - Po- '^3 P- ^3 7zy â€”p3^ 3-J^ 3b- Z7 A - /Â° ^50- .4-4^- Gr- Â« Po â€” &lt;Â» P- ^T3 ou/- 14- /6 O ,x A- ISS Gr- '4S- pa- 7Â° GS- 33- â– : â€¢&lt; A-'^' ^r. oâ€™ k V bb-^ 5^b-/o P1- â€˜ Sb 3 g /Â»-/!- â€™.. Gr- "" A 3 o (3 r -'a Â° e&gt;s- /7 Â« T- ^b-S-l Gr- Bs- 7.1 5b- 107 '*Â» 7 3 Or- 11- 2P ? 35- 7.1 7ZZ â€” â€”rr â€¢5b-2 g 5i - â€¢. '7 - /2â€˜* 5b-/Â«j 52Â»-1 - "" V- 7/. 's Bs Gr-to 7-r p- C oui~ &lt;2. 5b-,x^ A- IS JS Cir- io 05 - _ â– - 1 5b-Â£Â« 7b- 5! A - 2-&lt;t. A- Gr- 3S ar-33 Tb-44- A~ 7 Gr- /o- Po. - 2.0 ns - gs- ^-. - â– '': zj- 77 Sb- 3^ A - 3 I Gr- 2-T Po- -B rjs - ,r c. - 7 Sb- 32- A - 31 Gr - ir' Po- 3 B3- /^ 0-7 /vf- 3j_ â€” A - / /Loo",,specm_larimerweld1_1916_v3_special_015.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/170,170,171.jpg,/p17393coll70/image/171.jpg,,p17393coll70-170,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {""@context"": ""https://schemas.allmaps.org/map/2/context.json"", ""id"": ""https://annotations.allmaps.org/maps/0a9c8801c8692260"", ""type"": ""GeoreferencedMap"", ""created"": ""2026-02-11T17:56:08.767Z"", ""modified"": ""2026-02-11T17:56:08.767Z"", ""resource"": {""id"": ""https://archives.mountainscholar.org/iiif/2/p17393coll70:170"", ""uri"": ""https://archives.mountainscholar.org/iiif/2/p17393coll70:170"", ""type"": ""ImageService2"", ""width"": 2300, ""height"": 3000}, ""gcps"": [{""id"": ""59428f124ff46445"", ""index"": 1.0004815433838061, ""resource"": [1326, 1072], ""geo"": [-104.8562667, 40.4652299]}, {""id"": ""980abfb47c1d7dc4"", ""index"": 3.3571369829581847, ""resource"": [2119, 2501], ""geo"": [-104.8325888, 40.4423856]}, {""id"": ""b2ab1f55940c7752"", ""index"": 2.490437153916281, ""resource"": [2136, 263], ""geo"": [-104.8319212, 40.4797953]}, {""id"": ""f1433323fe8dcf78"", ""index"": 0.4608587530361625, ""resource"": [1327, 2281], ""geo"": [-104.85634823013504, 40.44746485737272]}], ""resourceMask"": [[144, 108], [154, 2871], [2157, 2881], [2181, 102]], ""transformation"": {""type"": ""polynomial"", ""options"": {""order"": 1}}, ""_allmaps"": {""id"": ""https://annotations.allmaps.org/maps/0a9c8801c8692260"", ""version"": ""https://annotations.allmaps.org/maps/0a9c8801c8692260@5492b11405007ee5"", ""image"": {""id"": ""https://annotations.allmaps.org/images/d68165d630f68533"", ""version"": ""https://annotations.allmaps.org/images/d68165d630f68533@be8dd5f3407f9144"", ""canvases"": []}, ""scale"": 0.466559, ""area"": 25714350.11}}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-104.891664402, 40.481885044], [-104.891572626, 40.436963073], [-104.831483028, 40.436722991], [-104.830553592, 40.481903855], [-104.891664402, 40.481885044]]]}}]}",40.4594318,-104.8612886,44.46558364
,,probably skip,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/171/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:171/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:171/info.json,,,,historic,,,specm_larimerweld1_1916_v3_special_016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n n SECTIONS N. R W. 191 o 7 ^3,,specm_larimerweld1_1916_v3_special_016.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/171,171,172.jpg,/p17393coll70/image/172.jpg,,p17393coll70-171,,,,
,,probably skip,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/172/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:172/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:172/info.json,,,,historic,,,specm_larimerweld1_1916_v3_special_017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECTIONS â–  3Â»,3)32.T - N, R_44,W. Cjfâ€™p'1. S3 191 J p' 7 P' Q 1 P' P' p' P' p' 0 P' zj G1 Pâ€™ I pâ€™ ry p 1 J p' P 6^4Â® P' / iÂ® &gt; W J| Jl",,specm_larimerweld1_1916_v3_special_017.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/172,172,173.jpg,/p17393coll70/image/173.jpg,,p17393coll70-172,,,,
,,probably skip,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/173/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:173/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:173/info.json,,,,historic,,,specm_larimerweld1_1916_v3_special_018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECTIONS W, &O, 2%'3^U52t_SLn, r (-4 W.191S] dl â€” A /2 a: - -r~",,specm_larimerweld1_1916_v3_special_018.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/173,173,174.jpg,/p17393coll70/image/174.jpg,,p17393coll70-173,,,,
Bronson,complete,Volume 1 use PLSS,y,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/174/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:174/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:174/info.json,https://annotations.allmaps.org/images/597e4f77e22f9fe6,annotations/597e4f77e22f9fe6.json,https://allmaps.xyz/images/597e4f77e22f9fe6/{z}/{x}/{y}@2x.png,"historic, boundaries, planningCadastre, location","handDrawn, plss, irrigation, resources",City,specm_larimerweld1_1916_v3_special_019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECTIONS .7, g , '7 , /g T. 7 N, R_4 W. r & / â– â–  â– â– â– â–  z I \ Â®( [ & ! s&gt;. C7 :&lt;f f. Â© Jv ^rV'' ' 7 \ i @ f41 1 \",,specm_larimerweld1_1916_v3_special_019.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/174,174,175.jpg,/p17393coll70/image/175.jpg,,p17393coll70-174,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {""@context"": ""https://schemas.allmaps.org/map/2/context.json"", ""id"": ""https://annotations.allmaps.org/maps/2907979692aea4c6"", ""type"": ""GeoreferencedMap"", ""created"": ""2025-09-23T17:03:09.212Z"", ""modified"": ""2025-09-23T17:03:09.212Z"", ""resource"": {""id"": ""https://archives.mountainscholar.org/iiif/2/p17393coll70:174"", ""uri"": ""https://archives.mountainscholar.org/iiif/2/p17393coll70:174"", ""type"": ""ImageService2"", ""width"": 2309, ""height"": 3000}, ""gcps"": [{""id"": ""033c99fad48dddbb"", ""index"": 0.9680350397532211, ""resource"": [507, 220], ""geo"": [-104.8315694, 40.6104561]}, {""id"": ""71055eb1684d2665"", ""index"": 2.9172609768140956, ""resource"": [2159, 229], ""geo"": [-104.7920545, 40.6109072]}, {""id"": ""b5143257b2a92093"", ""index"": 1.8502281293837157, ""resource"": [498, 1863], ""geo"": [-104.8314703, 40.5815798]}, {""id"": ""3344ab58525bb3b1"", ""index"": 3.492335593998607, ""resource"": [2177, 1885], ""geo"": [-104.7925497, 40.5824072]}], ""resourceMask"": [[493, 213], [480, 2702], [2136, 2707], [2167, 219]], ""transformation"": {""type"": ""polynomial"", ""options"": {""order"": 1}}, ""_allmaps"": {""id"": ""https://annotations.allmaps.org/maps/2907979692aea4c6"", ""version"": ""https://annotations.allmaps.org/maps/2907979692aea4c6@aaac4abed74d9d7c"", ""image"": {""id"": ""https://annotations.allmaps.org/images/597e4f77e22f9fe6"", ""version"": ""https://annotations.allmaps.org/images/597e4f77e22f9fe6@745206c74d574070"", ""canvases"": []}, ""scale"": 0.509721, ""area"": 15947738.84}}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-104.831587166, 40.610421525], [-104.832355569, 40.567123653], [-104.793364524, 40.567942709], [-104.79217248, 40.611233035], [-104.831587166, 40.610421525]]]}}]}",40.58921923,-104.8123703,27.68325546
,,probably skip,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/175/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:175/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:175/info.json,,,,historic,,,specm_larimerweld1_1916_v3_special_020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"â– ^3-3 3 SECTIONS W. m- 3 (e ^*&lt;5 1 CÂ® rctth^ A-pV 6J I I A -â€œ45- Jo e, *S- .qZx^A 57 7 Â£7r- 4 6 1 ' &gt;2 3 -J,, â– si-./ Ar-^3 6 k- -Â£~3 T2&gt; -'3# -03-/0 (. o $â– â€¢24 /Z^7 â€¢ ^6^-7 Â£L -^y-^-r- -JL1. 'gs - .2.^. '2 s f",,specm_larimerweld1_1916_v3_special_020.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/175,175,176.jpg,/p17393coll70/image/176.jpg,,p17393coll70-175,,,,
,,probably skip,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/176/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:176/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:176/info.json,,,,historic,,,specm_larimerweld1_1916_v3_special_021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IO &lt;7g A- 3^ Gr 3^- &i- 5b 4 Gr P~ 4-^* Gr-^T Pa 3 S' P- 3l OC-jt~~ *7 bi - //Â£ 5b-xf G A - 3J-* Gr-ia â€˜So-Vj A.-3 4 Gr-S? 5b-/3 A /V Gr- /S Po-^3 s*^ -/^ - XO & Po ~ â€¢â€” ' /V - 37 &lt;5-z~ - Vo Po - /Â£&gt; /35 - 3Â° Sb- 6 A - Gr-^S- Pt)' 1 73^ rf A- Po -2J Gr ""t, r&lt;&gt; 35 /Z&gt; / 5b-33 5t&gt;-Â¥3 4-2*6 Gr- 5b- XC A- Ar Gr- n Pb - 3 3 Bs- 4 . 30 Gr - '-S' Ph- 2P /3$ /*/ A - 7'o Gr-ro - 37 /3s-3o oc - 6 3*7 5b - io 4-33 Gr- "" po- g M po- 3# 5b- H- 6/ Ci Tt. xr a- Gr- '*P P~- /S 7 3 â– Tb-^G A-^-r- Gr-* 11 po- 33 /35 - 3 &lt;7 J35-JL ! -/-O Gtâ€” 3 Po - Al OC. - ^b-S' - yr G&lt;â€˜-3Â° /3S-3Â« , - ; P ^b Gr- /'i- -20 A - ""'. 3.? Gr-/^~', /^y' y ^r- PO - P- 't-'i A - 37 Gr- Po */Â° â€¢5b- 3J- f O/~_ 7-4- po â€” GS~ 35 â€œ ft P- O â–  pui - 9 P-T - 5b-^ A ^3Â° 7 5b 3 3 A - ?3 P- ^&gt;1 out - Sb-/-* Sb /* S u&lt;jt -3* Gr-^f ?. P^. â€¢ &lt;r&gt; . r Io' 4-2og Gr-174 Pp- gL Ps- 3X A-f-S""^ â€”â€” Gr-l&lt;P&gt; Po- â€” p- ?&lt;* r Gr- ~2-^ Po- y-o -5b-63 M A- '' Gr- 2.^ 5b-7 po- 7o 3-? aap-^ 'b-i2 A- /i?o pc - io GÂ«'- 7^ /35-Xo 13-5- -7 7-- Zâ€”~ 5 b - A - xi Gr- &gt;3 PÂ» - â€¢ SECTIONS T T N. R 6&lt;5 W. __191^-",,specm_larimerweld1_1916_v3_special_021.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/176,176,177.jpg,/p17393coll70/image/177.jpg,,p17393coll70-176,,,,
,,probably skip,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/177/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:177/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:177/info.json,,,,historic,,,specm_larimerweld1_1916_v3_special_022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Io ilG i â–  â€¢ â– â– â– â–  â–  â–  -â–  & A\ ' "" â–  Jr~~ 7 0 10, o -b &lt; o 0 0 0 9 + + + â€¢â–  + 1 @ o 0 0 0 0 \ o o O -f- o \ Co O &lt;J -v2___\ I Alo 4- v-A&gt; o o o o O o O O o C 4- 0 ' 6 1 o 4 ol -f y t -t O -V -f- o Â° O O o -r -t O + O o Â± â€œt* -f + 4-0 o \ Â«o Â° O o -f- -V o -v o \ o o O C o + ( â– f \ ""t -tot _ j &lt;J ' o ( o o o -+ VxJ -f- c o +- + ) o 0 + -t- -f- T 1 o o + 4 o ( \ + . O t 4- 4- ~t o ( o c T SECTIONS TN. RW 191",,specm_larimerweld1_1916_v3_special_022.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/177,177,178.jpg,/p17393coll70/image/178.jpg,,p17393coll70-177,,,,
Bronson,complete,Volume 1 use PLSS,y,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/178/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:178/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:178/info.json,https://annotations.allmaps.org/images/f7e3bad6476cbf5d,annotations/f7e3bad6476cbf5d.json,https://allmaps.xyz/images/f7e3bad6476cbf5d/{z}/{x}/{y}@2x.png,"historic, boundaries, planningCadastre, location","handDrawn, plss, irrigation, resources",City,specm_larimerweld1_1916_v3_special_023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"_ vteds ""â–  a ^&lt;3 5)1 dJ â€™fe , v A (g) Â® 'Â©' SoÂ® ! ^\ & 'p X)\ r "" V -+3 $&lt;Â£â–  &lt; ! ...' J Â® â€™ i 'Â© 5X@: ?' Â® f ' Â£L; â– fa @ (&â–  k (jV \W Â£Â£ & D 'Â® . (S A V . . &lt;Â® . &â€¢ 'â€”-â– -. '. @ Â® Â® 9 1 ' '&lt;& &lt; ' &gt;* A) ,&gt;^&lt;7 Â® iÂ® \ a @''W?'' â€” â– ^\ &lt;& . â€™P -.â€”â€”.-I I. V F&lt;T ;&lt;g), â€¢ ' 'J Câ€˜*' - \ $ Â®- IÂ®ft I 5 &lt;â–  vÂ©â€ž.: fc/ W â€˜ 'c& \ I # &lt; ';i V â–  Â®\ r X -S @ '&gt;â€¢-",,specm_larimerweld1_1916_v3_special_023.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/178,178,179.jpg,/p17393coll70/image/179.jpg,,p17393coll70-178,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {""@context"": ""https://schemas.allmaps.org/map/2/context.json"", ""id"": ""https://annotations.allmaps.org/maps/01fda4ee5661b67c"", ""type"": ""GeoreferencedMap"", ""created"": ""2025-09-23T17:04:36.069Z"", ""modified"": ""2025-09-23T17:04:36.069Z"", ""resource"": {""id"": ""https://archives.mountainscholar.org/iiif/2/p17393coll70:178"", ""uri"": ""https://archives.mountainscholar.org/iiif/2/p17393coll70:178"", ""type"": ""ImageService2"", ""width"": 2309, ""height"": 3000}, ""gcps"": [{""id"": ""5afa134d50272b30"", ""index"": 1.000747999861853, ""resource"": [2115, 264], ""geo"": [-104.7940509, 40.5234948]}, {""id"": ""76689748c863211d"", ""index"": 0.26619786988448013, ""resource"": [503, 264], ""geo"": [-104.8320586, 40.5233588]}, {""id"": ""9dfb10bcce1b9e1c"", ""index"": 2.676462043644631, ""resource"": [503, 1877], ""geo"": [-104.8319692, 40.4943934]}, {""id"": ""a1457f177334a96c"", ""index"": 3.368091391889939, ""resource"": [2124, 1899], ""geo"": [-104.7924412, 40.4952775]}], ""resourceMask"": [[489, 2688], [2114, 2695], [2125, 265], [495, 255]], ""transformation"": {""type"": ""polynomial"", ""options"": {""order"": 1}}, ""_allmaps"": {""id"": ""https://annotations.allmaps.org/maps/01fda4ee5661b67c"", ""version"": ""https://annotations.allmaps.org/maps/01fda4ee5661b67c@b13cbdc01f4b8d24"", ""image"": {""id"": ""https://annotations.allmaps.org/images/f7e3bad6476cbf5d"", ""version"": ""https://annotations.allmaps.org/images/f7e3bad6476cbf5d@0beda1ab8cf2d5fc"", ""canvases"": []}, ""scale"": 0.501534, ""area"": 15732674.33}}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-104.8316075, 40.480394146], [-104.792635863, 40.480979886], [-104.793488334, 40.523763297], [-104.832581252, 40.523228189], [-104.8316075, 40.480394146]]]}}]}",40.5021023,-104.8125824,27.23953311
,,probably skip,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/179/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:179/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:179/info.json,,,,historic,,,specm_larimerweld1_1916_v3_special_024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SECTIONS '2 / J T N, R o W.",,specm_larimerweld1_1916_v3_special_024.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/179,179,180.jpg,/p17393coll70/image/180.jpg,,p17393coll70-179,,,,
